equipment_id;serial_number;name;station_code;category;manufacture;type;sampling_rate;input;installation_date;calibration_date;firmware_version;description;technician;status;supplier
COF-ACBM-2023;;Feed;ACBM;Sistem Komunikasi;Prodelin;WR137 C-Band X-Pol;;;;;;;;active;
COR-ACBM-2022;;LNB;ACBM;Sistem Komunikasi;;;;;2022-08-06;;;;;active;
COT-ACBM-2022;;SSPB;ACBM;Sistem Komunikasi;;;;;2022-08-06;;;;;active;
COV-ACBM-2023;;VSAT Antenna;ACBM;Sistem Komunikasi;Skyware;243-2.4m-C-Band;;;;;;;;active;
GPR-ACBM-2022;;GPS Receiver;ACBM;GPS;Trimble;Bullet-GPS-Antenna-3V;;;2022-08-06;;;;;active;
PB-ACBM-2023;;Baterai;ACBM;Sistem Power;EverExceed;ES200;;;;;;;;active;
PC-ACBM-2022;;Charger;ACBM;Sistem Power;;;;;2022-08-06;;;;;active;
PSP-ACBM-2023;;Tipe 1 Panel;ACBM;Sistem Power;PT LEN;LEN-260;;;;;;;;active;
PSP-ACBM-2023-2;;Tipe 2 Panel;ACBM;Sistem Power;;;;;;;;;;active;
SS-ACBM-2022;7215;Seismometer;ACBM;Sensor;Nanometrics;Trillium-Compact;40 Hz;40 Vpp;2022-08-06;;;;;active;
CIM-ACJM-2019;;Modem Transceiver;ACJM;Sistem Komunikasi;;;;;2019-10-01;;;;;active;
COF-ACJM-2023;;Feed;ACJM;Sistem Komunikasi;;;;;;;;;;active;
COR-ACJM-2019;1901-N22618-00345;LNB;ACJM;Sistem Komunikasi;Norsat;Norsat-3520;;;2019-10-01;;;;;active;
COT-ACJM-2019;A00259A76;SSPB;ACJM;Sistem Komunikasi;Norsat;NJT8102;;;2019-10-01;;;;;active;
COV-ACJM-2023;;VSAT Antenna;ACJM;Sistem Komunikasi;Skyware;243-2.4m-C-Band;;;;;;;;active;
GPR-ACJM-2019;;GPS Receiver;ACJM;GPS;Trimble;Bullet-GPS-Antenna-3V;;;2019-10-01;;;;;active;
PB-ACJM-2023;;Baterai;ACJM;Sistem Power;EverExceed;ES200;;;;;;;;active;
PC-ACJM-2019;368;Charger;ACJM;Sistem Power;Nanometrics;SolarRegulator;;;2019-10-01;;;;;active;
PSP-ACJM-2023;;Tipe 1 Panel;ACJM;Sistem Power;PT LEN;LEN-260;;;;;;;;active;
PSP-ACJM-2023-2;;Tipe 2 Panel;ACJM;Sistem Power;;;;;;;;;;active;
SS-ACJM-2019;7247;Seismometer;ACJM;Sensor;Nanometrics;Trillium-Compact;40 Hz;40 Vpp;2019-10-01;;;;;active;
CIM-ALKI-2017;1104;Modem Transceiver;ALKI;Sistem Komunikasi;PSN;PSN;;;2017-09-09;;;;;active;
COF-ALKI-2023;;Feed;ALKI;Sistem Komunikasi;Prodelin;WR137 C-Band X-Pol;;;;;;;;active;
COR-ALKI-2010;76N11380045;LNB;ALKI;Sistem Komunikasi;Norsat;3525-PLL-LNB;;;2010-10-01;;;;;active;
COT-ALKI-2015;A03447E54;SSPB;ALKI;Sistem Komunikasi;New Japan Radio;NJT-5667-2W;;;2015-12-24;;;;;active;
COV-ALKI-2023;;VSAT Antenna;ALKI;Sistem Komunikasi;Prodelin;1251-2.4m-C-Band;;;;;;;;active;
D-ALKI-2013;795;Digitizer;ALKI;Data Logger;Nanometrics;Centaur;40 Hz;40 Vpp;2013-12-07;;;;;active;
D-ALKI-2017;799;Digitizer;ALKI;Data Logger;Nanometrics;Centaur;100 Hz;40 Vpp;2017-09-09;;;;;active;
GPB-ALKI-2023;;GPS Board;ALKI;GPS;;;;;;;;;;active;
GPR-ALKI-2013;313110524;GPS Receiver;ALKI;GPS;Trimble;Bullet-GPS-Antenna-3V;;;2013-12-07;;;;;active;
M-ALKI-2023;;Storage Media;ALKI;Storage Media;;;;;;;;;;active;
PB-ALKI-2021;;Baterai;ALKI;Sistem Power;HAZE;HZY-SL12-70;;;2021-11-22;;;;;active;
PC-ALKI-2017;330;Charger;ALKI;Sistem Power;Nanometrics;SolarRegulator;;;2017-09-09;;;;;active;
PSP-ALKI-2023;;Tipe 1 Panel;ALKI;Sistem Power;BP Solar;BP-350J;;;;;;;;active;
PSP-ALKI-2023-2;;Tipe 2 Panel;ALKI;Sistem Power;BP Solar;BP-350J;;;;;;;;active;
SA-ALKI-2015;222;Accelerometer;ALKI;Sensor;Metrozet;TSA-100S;;;2015-10-01;;;;;active;
SS-ALKI-2010;149;Seismometer;ALKI;Sensor;Nanometrics;Trillium-120P;;;2010-10-01;;;;;active;
CIM-ALTI-2023;;Modem Transceiver;ALTI;Sistem Komunikasi;;Teltonika RUT955;;;;;;;;active;
COF-ALTI-2023;;Feed;ALTI;Sistem Komunikasi;;;;;;;;;;active;
COR-ALTI-2019;1805-N22618-00079;LNB;ALTI;Sistem Komunikasi;Norsat;Norsat-3520;;;2019-10-01;;;;;active;
COT-ALTI-2019;A00283A76;SSPB;ALTI;Sistem Komunikasi;New Japan Radio;NJT8102F;;;2019-10-01;;;;;active;
COV-ALTI-2023;;VSAT Antenna;ALTI;Sistem Komunikasi;Skyware;243-2.4m-C-Band;;;;;;;;active;
GPR-ALTI-2019;30N70220;GPS Receiver;ALTI;GPS;Trimble;Bullet-GPS-Antenna-3V;;;2019-10-01;;;;;active;
M-ALTI-2019;;VSAT Storage Media;ALTI;Storage Media;;;;;2019-10-01;;;;;active;
PB-ALTI-2023;;Baterai;ALTI;Sistem Power;Lithium;LW24100LFP;;;;;;;;active;
PC-ALTI-2019;338;Charger;ALTI;Sistem Power;Nanometrics;SolarRegulator;;;2019-10-01;;;;;active;
PSP-ALTI-2023;;Tipe 1 Panel;ALTI;Sistem Power;PT LEN;LEN-260;;;;;;;;active;
PSP-ALTI-2023-2;;Tipe 2 Panel;ALTI;Sistem Power;;;;;;;;;;active;
SS-ALTI-2019;653;Seismometer;ALTI;Sensor;Nanometrics;Horizon;40 Hz;40 Vpp;2019-10-01;;;;;active;
CBM-AMGI-2020;1.47E+12;Modem;AMGI;Sistem Komunikasi;Robustel;R20004L;;;2020-03-17;;;;;active;
CIS-AMGI-2023;CN97HDD43D;Switch;AMGI;Sistem Komunikasi;HPE;HP-1420;;;;;;;;active;
D-AMGI-2010;875;Digitizer;AMGI;Data Logger;Nanometrics;Taurus;100 Hz;40 Vpp;2010-01-01;;;;;active;
M-AMGI-2023;;Storage Media;AMGI;Storage Media;Kingstoon;Compact-Flash;;;;;;;;active;
SA-AMGI-2010;734;Accelerometer;AMGI;Sensor;Metrozet;TSA-100S;;;2010-01-01;;;;;active;
CIM-AMPM-2020;223136;Modem Transceiver;AMPM;Sistem Komunikasi;IDirect;Evolution-X1;;;2020-11-01;;;;;active;
COF-AMPM-2023;;Feed;AMPM;Sistem Komunikasi;Prodelin;WR137 C-Band X-Pol;;;;;;;;active;
COR-AMPM-2020;86SN3639002666;LNB;AMPM;Sistem Komunikasi;Norsat;Norsat C-band 3525F;;;2020-11-01;;;;;active;
COT-AMPM-2020;A00982A07;SSPB;AMPM;Sistem Komunikasi;Norsat;NJT8102F;;;2020-11-01;;;;;active;
COV-AMPM-2023;;VSAT Antenna;AMPM;Sistem Komunikasi;Skyware;243-2.4m-C-Band;;;;;;;;active;
GPR-AMPM-2020;;GPS Receiver;AMPM;GPS;Trimble;Miniature-66800-XX;;;2020-11-01;;;;;active;
PB-AMPM-2023;;Baterai;AMPM;Sistem Power;EverExceed;ES200;;;;;;;;active;
PC-AMPM-2020;;Charger;AMPM;Sistem Power;LEN;LEN-Solar-Regulator;;;2020-11-01;;;;;active;
PSP-AMPM-2023;;Tipe 1 Panel;AMPM;Sistem Power;PT LEN;LEN-260;;;;;;;;active;
PSP-AMPM-2023-2;;Tipe 2 Panel;AMPM;Sistem Power;;;;;;;;;;active;
SS-AMPM-2020;194046;Seismometer;AMPM;Sensor;Metrozet;MBB-2;40 Hz;40 Vpp;2020-11-01;;;;;active;
CBM-ANAN-2020;1.47E+12;Modem;ANAN;Sistem Komunikasi;Robustel;R20004l;;;2020-12-15;;;;;active;
CIS-ANAN-2023;CN9BHDD06Y;Switch;ANAN;Sistem Komunikasi;HP;8-Port-Hub;;;;;;;;active;
D-ANAN-2020;7364;Digitizer;ANAN;Data Logger;Nanometrics;Centaur;100 Hz;40 Vpp;2020-12-15;;;;;active;
M-ANAN-2023;;Storage Media;ANAN;Storage Media;SanDisk;SD-Card;;;;;;;;active;
SA-ANAN-2020;2188;Accelerometer;ANAN;Sensor;Nanometrics;TitanOpen;;;2020-12-15;;;;;active;
CIM-APSI-2021;81923;Modem Transceiver;APSI;Sistem Komunikasi;Idirect;IQ desktop +;;;2021-10-14;;;;;active;
COF-APSI-2023;;Feed;APSI;Sistem Komunikasi;Prodelin;WR137 C-Band X-Pol;;;;;;;;active;
COR-APSI-2018;53N1414002362;LNB;APSI;Sistem Komunikasi;Norsat;3525-PLL-LNB;;;2018-09-17;;;;;active;
COT-APSI-2018;A15620E52;SSPB;APSI;Sistem Komunikasi;New Japan Radio;NJT-5667-2W;;;2018-09-17;;;;;active;
COV-APSI-2023;;VSAT Antenna;APSI;Sistem Komunikasi;Prodelin;1251-2.4m-C-Band;;;;;;;;active;
D-APSI-2021;5460;Digitizer;APSI;Data Logger;Guralp;Minimus +;50 Hz;40 Vpp;2021-10-14;;;;;active;
GPB-APSI-2023;;GPS Board;APSI;GPS;;;;;;;;;;active;
GPR-APSI-2023;;GPS Receiver;APSI;GPS;;;;;;;;;;active;
M-APSI-2023;;Storage Media;APSI;Storage Media;;Micro SD card;;;;;;;;active;
M-APSI-2023-2;;Storage Media;APSI;Storage Media;;;;;;;;;;active;
PB-APSI-2021;;Baterai;APSI;Sistem Power;Haze;HZY-SL12-70J;;;2021-10-14;;;;;active;
PC-APSI-2007;725;Charger;APSI;Sistem Power;Nanometrics;SolarRegulator;;;2007-01-01;;;;;active;
PSP-APSI-2023;;Tipe 1 Panel;APSI;Sistem Power;BP Solar;BP-350J;;;;;;;;active;
PSP-APSI-2023-2;;Tipe 2 Panel;APSI;Sistem Power;;;;;;;;;;active;
SA-APSI-2021;5460;Accelerometer;APSI;Sensor;Guralp;Minimus + MEMS;;;2021-10-14;;;;;active;
SS-APSI-2021;T310696;Seismometer;APSI;Sensor;Guralp;3T 120;;;2021-10-14;;;;;active;
CIM-APSR-2018;212053;Modem Transceiver;APSR;Sistem Komunikasi;IDirect;Evolution-X3;;;2018-07-24;;;;;active;
COF-APSR-2023;;Feed;APSR;Sistem Komunikasi;Skyware;WR137 C-Band X-Pol;;;;;;;;active;
COR-APSR-2018;A08043A64;LNB;APSR;Sistem Komunikasi;New Japan Radio;NJS8486H;;;2018-07-18;;;;;active;
COV-APSR-2023;;VSAT Antenna;APSR;Sistem Komunikasi;Skyware;1183-1.8m-C-Band;;;;;;;;active;
D-APSR-2018;627424;Digitizer;APSR;Data Logger;Meisei;G210P;100 Hz;40 Vpp;2018-07-18;;;;;active;
SA-APSR-2018;65092;Accelerometer;APSR;Sensor;Meisei;G210S;;;2018-07-18;;;;;active;
CIM-ARMI-2019;2413;Modem Transceiver;ARMI;Sistem Komunikasi;Nanometrics;CYGNUS 210;;;2019-10-01;;;;;active;
COF-ARMI-2023;;Feed;ARMI;Sistem Komunikasi;;;;;;;;;;active;
COR-ARMI-2019;1912-N22618-00309;LNB;ARMI;Sistem Komunikasi;Norsat;Norsat-3520;;;2019-10-01;;;;;active;
COT-ARMI-2019;A00218A75;SSPB;ARMI;Sistem Komunikasi;New Japan Radio;NJT8102F;;;2019-10-01;;;;;active;
COV-ARMI-2023;;VSAT Antenna;ARMI;Sistem Komunikasi;Skyware;243-2.4m-C-Band;;;;;;;;active;
GPR-ARMI-2019;11490125;GPS Receiver;ARMI;GPS;Trimble;Bullet-GPS-Antenna-3V;;;2019-10-01;;;;;active;
M-ARMI-2019;;VSAT Storage Media;ARMI;Storage Media;;;;;2019-10-01;;;;;active;
PB-ARMI-2019;;Baterai;ARMI;Sistem Power;EverExceed;ES200;;;2019-10-01;;;;;active;
PC-ARMI-2019;425;Charger;ARMI;Sistem Power;Nanometrics;SolarRegulator;;;2019-10-01;;;;;active;
PSP-ARMI-2023;;Tipe 1 Panel;ARMI;Sistem Power;PT LEN;LEN-260;;;;;;;;active;
PSP-ARMI-2023-2;;Tipe 2 Panel;ARMI;Sistem Power;;;;;;;;;;active;
SS-ARMI-2019;651;Seismometer;ARMI;Sensor;Nanometrics;Horizon;40 Hz;40 Vpp;2019-10-01;;;;;active;
CIM-ARPI-2019;2421;Modem Transceiver;ARPI;Sistem Komunikasi;Nanometrics;CYGNUS 210;;;2019-10-01;;;;;active;
COF-ARPI-2023;;Feed;ARPI;Sistem Komunikasi;;;;;;;;;;active;
COR-ARPI-2019;1901-N22618-00348;LNB;ARPI;Sistem Komunikasi;Norsat;Norsat-3520;;;2019-10-01;;;;;active;
COT-ARPI-2019;A00263A76;SSPB;ARPI;Sistem Komunikasi;New Japan Radio;NJT8102F;;;2019-10-01;;;;;active;
COV-ARPI-2023;;VSAT Antenna;ARPI;Sistem Komunikasi;Skyware;243-2.4m-C-Band;;;;;;;;active;
D-ARPI-2019;6608;Digitizer;ARPI;Data Logger;Nanometrics;Centaur;;;2019-10-01;;;;;active;
GPR-ARPI-2019;11490292;GPS Receiver;ARPI;GPS;Trimble;Bullet-GPS-Antenna-3V;;;2019-10-01;;;;;active;
M-ARPI-2019;;Storage Media;ARPI;Storage Media;;;;;2019-10-01;;;;;active;
M-ARPI-2019-2;;VSAT Storage Media;ARPI;Storage Media;;;;;2019-10-01;;;;;active;
PB-ARPI-2019;;Baterai;ARPI;Sistem Power;EverExceed;ES200;;;2019-10-01;;;;;active;
PC-ARPI-2019;363;Charger;ARPI;Sistem Power;Nanometrics;SolarRegulator;;;2019-10-01;;;;;active;
PSP-ARPI-2023;;Tipe 1 Panel;ARPI;Sistem Power;PT LEN;LEN-260;;;;;;;;active;
PSP-ARPI-2023-2;;Tipe 2 Panel;ARPI;Sistem Power;;;;;;;;;;active;
SA-ARPI-2019;1892;Accelerometer;ARPI;Sensor;Nanometrics;Titan;100 Hz;40 Vpp;2019-10-01;;;;;active;
SS-ARPI-2019;647;Seismometer;ARPI;Sensor;Nanometrics;Horizon;40 Hz;40 Vpp;2019-10-01;;;;;active;
CIM-ASJR-2018;213193;Modem Transceiver;ASJR;Sistem Komunikasi;IDirect;Evolution-X3;;;2018-05-16;;;;;active;
COF-ASJR-2023;;Feed;ASJR;Sistem Komunikasi;Skyware;WR137 C-Band X-Pol;;;;;;;;active;
COR-ASJR-2018;A08059A64;LNB;ASJR;Sistem Komunikasi;New Japan Radio;NJS8486H;;;2018-05-16;;;;;active;
COV-ASJR-2023;;VSAT Antenna;ASJR;Sistem Komunikasi;Skyware;1183-1.8m-C-Band;;;;;;;;active;
D-ASJR-2018;627421;Digitizer;ASJR;Data Logger;Meisei;G210P;100 Hz;40 Vpp;2018-05-16;;;;;active;
SA-ASJR-2018;65109;Accelerometer;ASJR;Sensor;Meisei;G210S;;;2018-05-16;;;;;active;
CIM-ASSR-2018;198244;Modem Transceiver;ASSR;Sistem Komunikasi;IDirect;Evolution-X3;;;2018-11-30;;;;;active;
COF-ASSR-2023;;Feed;ASSR;Sistem Komunikasi;Skyware;WR137 C-Band X-Pol;;;;;;;;active;
COR-ASSR-2018;A05022A3Y;LNB;ASSR;Sistem Komunikasi;New Japan Radio;NJS8486H;;;2018-11-30;;;;;active;
COV-ASSR-2023;;VSAT Antenna;ASSR;Sistem Komunikasi;Skyware;1183-1.8m-C-Band;;;;;;;;active;
D-ASSR-2019;172634;Digitizer;ASSR;Data Logger;Meisei;G210P;100 Hz;40 Vpp;2019-05-30;;;;;active;
SA-ASSR-2018;65082;Accelerometer;ASSR;Sensor;Meisei;G210S;;;2018-11-30;;;;;active;
CBM-ATJN-2020;1.47E+12;Modem;ATJN;Sistem Komunikasi;Robustel;R20004l;;;2020-10-28;;;;;active;
CIS-ATJN-2023;CN9BHDD06F;Switch;ATJN;Sistem Komunikasi;HP;HPE 1420;;;;;;;;active;
D-ATJN-2020;7256;Digitizer;ATJN;Data Logger;Nanometrics;Centaur;100 Hz;40 Vpp;2020-10-28;;;;;active;
M-ATJN-2023;;Storage Media;ATJN;Storage Media;SanDisk;SD-Card;;;;;;;;active;
SA-ATJN-2020;2106;Accelerometer;ATJN;Sensor;Nanometrics;Titan;;;2020-10-28;;;;;active;
CIM-ATNI-2017;852;Modem Transceiver;ATNI;Sistem Komunikasi;Nanometrics;CYGNUS 205;;;2017-10-31;;;;;active;
COF-ATNI-2023;;Feed;ATNI;Sistem Komunikasi;Prodelin;WR137 C-Band X-Pol;;;;;;;;active;
COR-ATNI-2012;05N1278040111;LNB;ATNI;Sistem Komunikasi;Norsat;3525-PLL-LNB;;;2012-01-01;;;;;active;
COT-ATNI-2012;A01985C68;SSPB;ATNI;Sistem Komunikasi;New Japan Radio;NJT-5667-2W;;;2012-01-01;;;;;active;
COV-ATNI-2023;;VSAT Antenna;ATNI;Sistem Komunikasi;Prodelin;1251-2.4m-C-Band;;;;;;;;active;
D-ATNI-2015;807;Digitizer;ATNI;Data Logger;Nanometrics;Trident 305;100 Hz;40 Vpp;2015-11-02;;;;;active;
D-ATNI-2017;797;Digitizer;ATNI;Data Logger;Nanometrics;Trident 305;40 Hz;40 Vpp;2017-10-31;;;;;active;
GPB-ATNI-2023;;GPS Board;ATNI;GPS;;;;;;;;;;active;
GPR-ATNI-2012;08N100072;GPS Receiver;ATNI;GPS;Trimble;Bullet-GPS-Antenna-3V;;;2012-01-01;;;;;active;
M-ATNI-2015;;Storage Media;ATNI;Storage Media;Transcend;133x;;;2015-11-02;;;;;active;
M-ATNI-2023;;Storage Media;ATNI;Storage Media;;;;;;;;;;active;
PB-ATNI-2020;;Baterai;ATNI;Sistem Power;Haze;HZY-SL12-70J;;;2020-10-10;;;;;active;
PC-ATNI-2017;654;Charger;ATNI;Sistem Power;Nanometrics;SolarRegulator;;;2017-10-31;;;;;active;
PSP-ATNI-2023;;Tipe 1 Panel;ATNI;Sistem Power;Solar World;RB-184;;;;;;;;active;
PSP-ATNI-2023-2;;Tipe 2 Panel;ATNI;Sistem Power;;;;;;;;;;active;
SA-ATNI-2014;622;Accelerometer;ATNI;Sensor;Nanometrics;Titan open;;;2014-10-22;;;;;active;
SS-ATNI-2012;1371;Seismometer;ATNI;Sensor;Nanometrics;Trillium-120P;;;2012-01-01;;;;;active;
CBM-AUSN-2020;1.47E+12;Modem;AUSN;Sistem Komunikasi;Robustel;R20004l;;;2020-11-26;;;;;active;
CIS-AUSN-2023;;Switch;AUSN;Sistem Komunikasi;HP;HPE 1420;;;;;;;;active;
D-AUSN-2020;7357;Digitizer;AUSN;Data Logger;Nanometrics;Centaur;;;2020-11-26;;;;;active;
M-AUSN-2023;;Storage Media;AUSN;Storage Media;SanDisk;Compact-Flash;;;;;;;;active;
