station_code;category;unit;description;status;maps;latitude;longitude;altitude;province;city;district;subdistrict;network;start_date;address
BDMUI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=1.322,126.362;1.322;126.362;;Maluku Utara;;;;;2023-01-01;Ternate, Maluku Utara, Maluku, Indonesia
BESI;Stasiun Gempa Bumi;Stageof Aceh Besar;;;https://www.google.com/maps?q=4.720084,96.865415;4.720084;96.865415;1372;Aceh;Bener Meriah;Bukit;;;2019-10-01;Kantor BPBD Bener Meriah, JL. Strategis Simpang Uring - Kandepaq
BESM;Stasiun Gempa Bumi;Stageof Aceh Selatan;;;https://www.google.com/maps?q=4.151599,96.325331;4.151599;96.325331;646;Aceh;Nagan Raya;Suka Makmue;Kuta Padang;;2019-10-01;BPBD Nagan Raya
BGASI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=3.983,97.315;3.983;97.315;;Aceh;;;;;2023-01-01;Blang Pegayon, Gayo Lues, Aceh, Sumatera, 24653, Indonesia
BGCI;Stasiun Gempa Bumi;Stageof Palu;;;https://www.google.com/maps?q=-0.8816,123.3911;-0.8816;123.3911;11;Sulawesi Tengah;Banggai;Balantak;Dale Dale;;2019-10-01;Jl. Lenas
BGCM;Stasiun Gempa Bumi;Stageof Palu;;;https://www.google.com/maps?q=-0.0804,119.858;-0.0804;119.858;18;Sulawesi Tengah;Donggala;Balaesang;Tambu;;2019-10-01;Donggala, Sulawesi Tengah, Sulawesi, Indonesia
BHCM;Stasiun Gempa Bumi;Stageof Palu;;;https://www.google.com/maps?q=-2.7965,122.1259;-2.7965;122.1259;11;Sulawesi Tengah;Morowali;Bahodopi;;;2019-10-01;Kantor Camat Bahodopi
BJI;Stasiun Gempa Bumi;Pusinskal;;;https://www.google.com/maps?q=-7.332973,109.709572;-7.332973;109.709572;;Jawa Tengah;;;;;1900-01-01;190, Kendaga, Banjarnegara, Jawa Tengah, Jawa, Indonesia
BKASI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-0.202,100.318;-0.202;100.318;;Sumatera Barat;;;;;2023-01-01;Sipinang, Agam, Sumatera Barat, Sumatera, Indonesia
BKB;Stasiun Gempa Bumi;Stageof Balikpapan;;;https://www.google.com/maps?q=-1.1073,116.9048;-1.1073;116.9048;111;Kalimantan Selatan;Balikpapan;Balikpapan Utara;Karang Joang;;2008-07-04;Jalan Soekarno Hatta (Agro Wisata KM.23)
BKJI;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-7.3633,108.5322;-7.3633;108.5322;84;Jawa Barat;Kota Banjar;Banjar;Banjar;;2019-10-01;Jl. RE. Kosasih, Banjar, Kec. Banjar, Kota Banjar, Jawa Barat 46311
BKNI;Stasiun Gempa Bumi;Stageof Padang Panjang;;;https://www.google.com/maps?q=0.3264083,101.0396;0.3264083;101.0396;65;Riau;Kampar;Bangkinang;Bangkinang;;2008-03-14;Jl. Bukit Permai 2, Bangkinang, Kec. Bangkinang, Kabupaten Kampar, Riau 28463
BKSI;Stasiun Gempa Bumi;Stageof Gowa;;;https://www.google.com/maps?q=-5.3218,120.1224;-5.3218;120.1224;606;Sulawesi Selatan;Bulukumba;Bulukumba;Karampuang;;2007-01-01;Jl. Gunung Karampuang
BLCM;Stasiun Gempa Bumi;Stageof Palu;;;https://www.google.com/maps?q=-0.123,119.687;-0.123;119.687;11;Sulawesi Tengah;Donggala;Balaesang Tanjung;;;2019-10-01;Jl, Malei
BLJI;Stasiun Gempa Bumi;Stageof Pasuruan;;;https://www.google.com/maps?q=-7.7454,113.595;-7.7454;113.595;80.9;Jawa Timur;Situbondo;Banyuglugur;Banyuglugur;;2007-01-01;Jalan Selo Banteng
BLSM;Stasiun Gempa Bumi;Stageof Tangerang;;;https://www.google.com/maps?q=-3.140536,102.807245;-3.140536;102.807245;67;Sumatera Selatan;Musi Rawas;Batukuning Lakitan Ulu,;;;2019-10-01;Kantor Camat Selangit
BMBNG;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-6.6634,110.8839;-6.6634;110.8839;;Jawa Tengah;;;;;2019-01-01;Siberuk, Ternadi, Kudus, Jawa Tengah, Jawa, 59353, Indonesia
BMSI;Stasiun Gempa Bumi;Stageof Kepahiang;;;https://www.google.com/maps?q=-2.06638,102.31534;-2.06638;102.31534;135;Jambi;Merangin;Bangko;Dusun Bangko;;2019-10-01;Jl.Lintas Sumatra Palembang-Jambi KM.6
BNDI;Stasiun Gempa Bumi;Stageof Ambon;;;https://www.google.com/maps?q=-4.5224,129.9045;-4.5224;129.9045;16;Maluku;;;;;2008-07-04;Jalan Bandara
BNSI;Stasiun Gempa Bumi;Stageof Gowa;;;https://www.google.com/maps?q=-4.4005,120.1065;-4.4005;120.1065;261;Sulawesi Selatan;Bone;amali;Mampotu;;2007-12-01;Jl. Pendidikan
BNTI;Stasiun Gempa Bumi;Stageof Sumba Timur;;;https://www.google.com/maps?q=-8.7881,120.9768;-8.7881;120.9768;1243;Nusa Tenggara Timur;Ngada;Bajawa;Ngedukelu;;2019-10-01;Jl. TW. Mengeruda
BOJI;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-7.56815,110.68936;-7.56815;110.68936;184;Jawa Tengah;Boyolali;Sawit;Cepoko Sawit;;2019-10-01;kantor kepala desa, Dusun II, Cepokosawit, Kec. Sawit, Kabupaten Boyolali, Jawa Tengah 57374
BOSM;Stasiun Gempa Bumi;Stageof Lampung Utara;;;https://www.google.com/maps?q=-4.859207,104.02074;-4.859207;104.02074;640;Sumatera Selatan;Oku Selatan;Banding Agung;Ranau Selatan;;2019-10-01;Kantor Camat Warkuk
BPMJM;Stasiun Gempa Bumi;Stageof Pasuruan;;;https://www.google.com/maps?q=-6.9505,113.4922;-6.9505;113.4922;270.5;Jawa Timur;Pamekasan;Batumarmar;Bangsereh;;2020-11-01;Dusun Barat Dajah, Desa Bangsereh Kec. Batumarmar, Kab. Pamekasan, Prov. Jawa Timur, kode pos 69354
BPSM;Stasiun Gempa Bumi;Stageof Padang Panjang;;;https://www.google.com/maps?q=-1.1894,100.5899;-1.1894;100.5899;110;Sumatera Barat;Pesisir Selatan;Bayang;;;2019-10-01;Puluik-Puluik, Pesisir Selatan, Sumatera Barat, Sumatera, Indonesia
BSI;Stasiun Gempa Bumi;Stageof Aceh Besar;;;https://www.google.com/maps?q=5.4964,95.2962;5.4964;95.2962;7;Aceh;Aceh Besar;Darul Imarah;Leu Ue (mata Ie);;2005-12-31;Jl.Raya Mata Ie Pos Perumnas Banda Aceh
BSMI;Stasiun Gempa Bumi;Stageof Ambon;;;https://www.google.com/maps?q=-3.1075,130.4939;-3.1075;130.4939;104;Maluku;Seram Bagian Timur;Bula;Bula;;2016-11-26;Mess Tower PT.Karlez
BSSI;Stasiun Gempa Bumi;Stageof Gowa;;;https://www.google.com/maps?q=-6.1428,120.4904;-6.1428;120.4904;114;Sulawesi Selatan;Kepulauan Selayar;Bonto Haru;Kelurahan Bonto Bangun;;2008-01-01;Bonto Bangun
BTCM;Stasiun Gempa Bumi;Stageof Palu;;;https://www.google.com/maps?q=-2.4768,121.9241;-2.4768;121.9241;21;Sulawesi Tengah;Morowali;Bungku Tengah;Bahomohoni;;2019-10-01;BPBD Morowali
BTJI;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-7.169465,109.12777;-7.169465;109.12777;942;Jawa Tengah;Tegal;Bumi Jawa;;;2019-10-01;Bumijawa, Tegal, Jawa Tengah, Jawa, 52466, Indonesia
BTSPI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-2.3779,139.7042;-2.3779;139.7042;;Papua;;;;;2023-01-01;Sarmi, Papua, Western New Guinea, Indonesia
BUBSI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-0.855,122.207;-0.855;122.207;;Sulawesi Tengah;;;;;2023-01-01;Tombonganulo, Banggai, Sulawesi Tengah, Sulawesi, Indonesia
BUJI;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-7.755933,109.46143;-7.755933;109.46143;34;Jawa Tengah;Kebumen;Buayan;;;2019-10-01;Karangbolong, Kebumen, Jawa Tengah, Jawa, Indonesia
BUKI;Stasiun Gempa Bumi;Stageof Balikpapan;;;https://www.google.com/maps?q=1.25163,118.709328;1.25163;118.709328;13;Kalimantan Timur;Berau;;;;2021-12-14;Jalan Poros Tanjung Redeb-Talisayan, Giring-giring, Berau, Kalimantan Timur, Kalimantan, Indonesia
BUMSI;Stasiun Gempa Bumi;Stageof Palu;;;https://www.google.com/maps?q=-1.977807,121.3346;-1.977807;121.3346;;Sulawesi Tengah;;;;;2022-01-01;Kolonodale, Morowali Utara, Sulawesi Tengah, Sulawesi, 94971, Indonesia
BUSI;Stasiun Gempa Bumi;Stageof Aceh Besar;;;https://www.google.com/maps?q=5.244508,96.242978;5.244508;96.242978;12;Aceh;Pidie Jaya;Meureudu;Geuleudah;;2019-10-01;Komplek Rumah Dinas Camat Meureudu
BWJI;Stasiun Gempa Bumi;Stageof Pasuruan;;;https://www.google.com/maps?q=-5.8511,112.6578;-5.8511;112.6578;57.6;Jawa Timur;Gresik;Sangkapura;Sawah Mulya;;2006-01-01;Jl. Umar Masud, Sangkapura, Bawean
BYJI;Stasiun Gempa Bumi;Stageof Pasuruan;;;https://www.google.com/maps?q=-8.2146,114.3556;-8.2146;114.3556;99.5;Jawa Timur;Banyuwangi;Giri;Mojo Panggung;;2007-01-01;Stasiun Meteorologi Kelas III, Jl. Agung Suprapto No. 152
BYLI;Stasiun Gempa Bumi;Stageof Mataram;;;https://www.google.com/maps?q=-8.2272,116.4202;-8.2272;116.4202;60;Nusa Tenggara Barat;Lombok Utara;Bayan;Anyar;;2019-10-01;Anyar, Bayan, Lombok Utara (Belakang Pasar Bayan)
CASI;Stasiun Gempa Bumi;Stageof Aceh Besar;;;https://www.google.com/maps?q=4.6288,95.576;4.6288;95.576;150;Aceh;Aceh Jaya;Krueng Sabee;Bahagia;;2018-03-11;Calang, Krueng Sabee, Aceh Jaya, Aceh, Sumatera, Indonesia
CBJI;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-6.6981,106.9348;-6.6981;106.9348;1006;Jawa Barat;Bogor;Cisarua;Citeko;;2005-01-01;Stasiun Meteorologi Kelas III Citeko Cisarua Bogor
CBJM;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-6.935293,107.35484;-6.935293;107.35484;646;Jawa Barat;Bandung Barat;Cipongkor;Sarinagen;;2019-10-01;Kampung Cipungur
CCJM;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-7.01659,107.14012;-7.01659;107.14012;48;Jawa Barat;Cianjur;Campaka;Cidadap;;2019-10-01;Kantor kecamatan campaka
CGJI;Stasiun Gempa Bumi;Stageof Tangerang;;;https://www.google.com/maps?q=-6.6134,105.6929;-6.6134;105.6929;182;Banten;Pandeglang;Cigeulis;Karyabuana;;2007-01-01;Jalan Raya Panimbang Cibaliung
CIJI;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-7.31706,108.1957;-7.31706;108.1957;418;Jawa Barat;Tasikmalaya;Cipedes;Panglayungan;;2019-10-01;Jl. Letnan Harun no 1, Panglayungan, Kec. Cipedes, Tasikmalaya, Jawa Barat
CIJM;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-6.492299,108.185247;-6.492299;108.185247;43;Jawa Barat;Indramayu;Cikedung;;;2019-10-01;Jl.Cikedung No.01/A, Kantor Kecamatan Cikedung
CIKJI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-6.041924,107.347374;-6.041924;107.347374;;Jawa Barat;;;;;2023-01-01;Kator Camat, Pejaten, Karawang, Jawa Barat, Jawa, 10340, Indonesia
CILJI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-6.822,106.316;-6.822;106.316;0;Banten;Cilacap;;;;2015-06-01;Jl. Lingkar Teluk Penyu No. 2 Cilacap- Jawa Tengah
CMJI;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-7.7837,108.4486;-7.7837;108.4486;78;Jawa Barat;Pangandaran;Cimerak;Masawah;;2007-01-01;Batumalang, Pangandaran, Jawa Barat, Jawa, 46595, Indonesia
CNJI;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-7.3091,107.1296;-7.3091;107.1296;589;Jawa Barat;Cianjur;Cibinong;Sukajadi;;2007-01-01;Belakang Kantor Camat Cibinong
CSBJI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-6.404687,107.881737;-6.404687;107.881737;;Jawa Barat;;;;;2023-01-01;Jatireja, Subang, Jawa Barat, Jawa, Indonesia
CSJI;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-7.3301,106.5212;-7.3301;106.5212;153;Jawa Barat;Sukabumi;Ciracap;;;2019-10-01;Ciracap, Kab Sukabumi, Jawa Barat, Jawa, Indonesia
CSJM;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-6.7405,108.0099;-6.7405;108.0099;361;Jawa Barat;Sumedang;Congeang;;;2019-10-01;Conggeang Kulon, Sumedang, Jawa Barat, Jawa, Indonesia
CTJI;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-7.0075,109.1835;-7.0075;109.1835;104;Jawa Tengah;Tegal;Kedung Banteng;Cacaban;;2006-01-01;Desa Cacaban
CWJM;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-6.742394,107.44477;-6.742394;107.44477;649;Jawa Barat;Bandung Barat;Cikalong Wetan;;;2019-10-01;RSUD Cikalong Wetan, Jalan Cikalong, Cikalong, Bandung Barat, Jawa Barat, Jawa, 40115, Indonesia
DBJI;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-6.5542,106.7437;-6.5542;106.7437;205;Jawa Barat;Bogor;Bogor Barat;Situgede;;2006-01-01;Jl. Alternatif IPB - SituGede Bogor Barat
DBKI;Stasiun Gempa Bumi;Stageof Balikpapan;;;https://www.google.com/maps?q=-1.6792,114.9081;-1.6792;114.9081;32;Kalimantan Tengah;Barito Selatan;Dusun Selatan;Sanggu;;2019-10-01;Laboratorium BLH
DBNFM;Stasiun Gempa Bumi;Stageof Mataram;;;https://www.google.com/maps?q=-8.424,118.5948;-8.424;118.5948;696;Nusa Tenggara Barat;Bima;Donggo;Mpili;;2020-11-01;Kantor Camat Donggo Jl. Pasanggrahan, Mpili, Donggo, Bima, Nusa Tenggara Bar. 84162
DDSI;Stasiun Gempa Bumi;Stageof Deli Serdang;;;https://www.google.com/maps?q=1.603648,101.39128;1.603648;101.39128;9;Riau;Dumai;Dumai Timur;Jaya Mukti;;2019-10-01;Kantor Dinas Sosial Jl.S.M. Amin No.39
DNP;Stasiun Gempa Bumi;Stageof Denpasar;;;https://www.google.com/maps?q=-8.6773,115.2097;-8.6773;115.2097;63;Bali;Denpasar;Denpasar Barat;Dauh Puri Kelod;;2005-12-01;Jl. Pulau Tarakan No.1 Sanglah Denpasar Bali
DOCM;Stasiun Gempa Bumi;Stageof Palu;;;https://www.google.com/maps?q=-0.6758,119.7487;-0.6758;119.7487;50;Sulawesi Tengah;Donggala;Donggala;Banawa;;2019-10-01;Gn. Bale, Banawa, Kabupaten Donggala.
DYPI;Stasiun Gempa Bumi;Stageof Jayapura;;;https://www.google.com/maps?q=-4.8521,139.4991;-4.8521;139.4991;87;Papua;Yakuhimo;Dekai;;;2019-10-01;Tomon 1, Yahukimo, Papua Pegunungan, Western New Guinea, Indonesia
EDFI;Stasiun Gempa Bumi;Stageof Kupang;;;https://www.google.com/maps?q=-8.7497,121.6903;-8.7497;121.6903;914;Nusa Tenggara Timur;Ende;Ende;Tomberabu II;;2008-01-01;Jl. Jurusan Ende Maumere Kilometer 18
EDMPI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-7.175,139.585;-7.175;139.585;;Papua;;;;;2023-01-01;Bade, Mappi, Papua Selatan, Western New Guinea, Indonesia
EGSI;Stasiun Gempa Bumi;Stageof Kepahiang;;;https://www.google.com/maps?q=-5.35269,102.2767;-5.35269;102.2767;35.7;Bengkulu;Bengkulu Selatan;Enggano;Desa Malakoni;;2008-10-01;Rumah Navigasi, Desa Malakoni. Enggano
ELMPI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-7.489,140.789;-7.489;140.789;;Papua;;;;;2023-01-01;Jalan Metaat Makmur Sipias, Sipias, Merauke, Papua Selatan, Western New Guinea, Indonesia
ERPI;Stasiun Gempa Bumi;Stageof Nabire;;;https://www.google.com/maps?q=-3.9269,136.3809;-3.9269;136.3809;1675;Papua;Paniai;Paniai Timur;Enarotali;;2017-12-15;STASIUN METEOROLOGI ENAROTALI, JL. TITINA YOGI BANDARA ENAROTALI
ESNI;Stasiun Gempa Bumi;Stageof Mataram;;;https://www.google.com/maps?q=-8.7875,117.965843;-8.7875;117.965843;26;Nusa Tenggara Barat;Sumbawa;Empang;;;2021-12-09;Boal Bawah, Boal, Sumbawa, Nusa Tenggara Barat, Nusa Tenggara, 84584, Indonesia
FAKI;Stasiun Gempa Bumi;Stageof Sorong;;;https://www.google.com/maps?q=-2.9192,132.265;-2.9192;132.265;136;Papua Barat;Fak-Fak;Fak-Fak;Torea/Dulan Pok-Pok;;2008-07-04;Stasiun Meteorologi Klas III Jl. Adi Sucipto No. 1
FKMPM;Stasiun Gempa Bumi;Stageof Jayapura;;;https://www.google.com/maps?q=-8.2515,140.2666;-8.2515;140.2666;95;Papua;Merouke;Kurik - Kaptel;Nus;;2020-11-01;Jaya Makmur, Merauke, Papua Selatan, Western New Guinea, Indonesia
FKSPI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-1.1594,132.016;-1.1594;132.016;;Papua Barat;;;;;2023-01-01;Jalan Klamono Kambuaya, Sorong Selatan, Papua Barat Daya, Western New Guinea, Indonesia
GARPI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-0.43465,129.9;-0.43465;129.9;;Papua Barat;;;;;2023-01-01;Gag, Raja Ampat, Papua Barat Daya, Western New Guinea, Indonesia
GBJI;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-6.94988,109.96661;-6.94988;109.96661;102;Jawa Tengah;Batang;Gringsing;;;2019-10-01;Banturan, Ketanggan, Batang, Jawa Tengah, Jawa, Indonesia
